,,,,,,,,,Starts from 01/12/2025,,,,,,
Инъектор,注水器,Injector,Медицинские расходные материалы,医用耗材,Medical Consumables,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Экран для душевого поддона,浴缸遮盖板,"


Shower Tray Screen

",Санфаянс и ванны,洁具和浴缸,Bathroom Ceramics & Bathtubs,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Держатель для бейджа,徽章架,Badge Holder,Папки и файлы,文件夹和文件袋,Folders and Files,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Шайба хоккейная,冰球,"


Hockey Puck

","Мячи, воланы, снаряды",球，羽毛球，体操器械,"Balls, Shuttlecocks, Equipment",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Спицы для вязания,针织针,"


Knitting Needles

",Инструмент для рукоделия,针线活工具,Craft Tools,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Инструмент письма для инвалидов,残疾人写作工具,"


Writing Tool for Disabled People

",Товары для реабилитации,康复用品,Rehabilitation Products,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Бокс для батареек,电池盒,Battery Box,Аккумуляторы,电池和蓄电池,Batteries,Ручные и измерительные инструменты,电子产品配饰,Electronics Accessories,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Фиксатор арматуры,钢筋固定器,"


Rebar Support

",Металлопрокат и металлоконструкции,轧制金属产品和钢构品,Rolled Metal Products & Metal Structures,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Фонарь-прожектор,强光式手提手电筒,"


Powerful Spotlight

",Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Запчасть для инкубатора,培养箱备件,"


Incubator Replacement Part

",Инкубаторы и овоскопы,孵化器和检卵器,Incubators & Ovoscopes,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Ангоб для керамики,用于陶瓷的釉底料,"


Engobe for Ceramics

",Гончарное дело,制陶,Pottery,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Журнал с наклейками,贴纸杂志,Stickers Magazine,Коллекционирование,收藏品,Collectibles,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
L-карнитин,左旋肉碱,"


L-Carnitine

",Спортивные добавки,运动补剂,Sports Supplements,Пищевые добавки для спортсменов,运动员营养补充剂,Food Supplements for Athletes,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Моделирующее средство,造型产品,Modelling Agent,Косметика для ухода,护理化妆品,Care Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Коврик для сушки посуды,碟形干燥垫,Dish Drying Mat,Инвентарь для дома,家居用品,Household Items,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Набор посуды для кормления,婴儿餐具套装,"


Baby Tableware Set

",Товары для кормления,儿童喂食产品,Feeding Products,Детская посуда,儿童餐具,Kids Tableware,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Костровая подставка,篝火架,Campfire Stand,Туристическая посуда,旅游餐具,Travel Utensils,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Очиститель от краски,脱漆剂,Paint Remover,Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Присоска крепежная,安装吸盘,"


Suction Cup Fastening

",Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Гидроизоляционная мембрана,防水膜,"


Waterproofing Membrane

",Изоляционные материалы,绝缘材料,Insulating Materials,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Ремкомплект для садовой мебели,花园家具维修套件,"


Garden Furniture Repair Kit

",Садовая мебель,户外花园家具,Garden Furniture,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Набор для скользящей поверхности,滑雪和滑雪板调整设备 ,Ski & Snowboard Tuning Equipment ,Аксессуары для лыж и сноубордов,滑雪和滑雪板配件,Ski & Snowboard Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Крестовина для компьютерного кресла,电脑椅十字叉架,Computer Chair Cross,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Теплоноситель,热载体,"


Heat Transfer Fluid

","Радиаторы, конвекторы",散热器、对流器,"Radiators, Convectors",Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Коньки конькобежные,速滑冰刀鞋,"


Speed Skating Skates

",Спортивная и рабочая обувь,运动鞋和工作鞋,Sports and Work Footwear,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Зарядная база для игровых устройств,游戏机充电站,Gaming Charging Station,Зарядные устройства и док-станции,充电器和扩展坞,Chargers & Docking Stations,"Игровые приставки и аксессуары, фототехника",游戏主机及配件、摄影器材,"Video Game Consoles & Accessories, Photo Equipment",All,12.00%,12.50%,12.50%,11.00%,11.50%,11.50%
Прокладка двигателя,发动机垫片,"


Engine Gasket

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Колпачок на вентиль автомобильный,轮胎气门杆,Tire Valve Stem,Автомобильный крепеж,汽车紧固件,Automotive Fasteners,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Шоколадная бомбочка,巧克力炸弹,"


Chocolate Bomb

","Соки, воды, напитки",果汁、水、饮料,"Juices, Water, Drinks",Свежие продукты питания,新鲜食品,Fresh Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Координатный стол,坐标表,Coordinate Table,Оснастка для инструмента,工具附属品,Tooling Equipment,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Журнальный стол,茶几,"


Coffee Table

",Столы,桌类,Tables,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Электропогонялка для скота,牲畜用电蒸馏器,"


Electric Cattle Prod

",Электропастухи и комплектующие,电围栏和配件,Electric Fences & Components,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Подпятник,脚跟垫,"


Pad

","Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Мотор отопителя,加热器电机,Heater Motor,Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Набор для ухода за бассейном,泳池护理套件,Pool Care Kit,Бассейн,游泳池,Pool,"Батуты, бассейны и Sup-доски",蹦床、游泳池和立式桨板,"Trampolines, Pools, and SUP Boards",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Поршень для мототехники,摩托车活塞,"


Motorcycle Piston

",Мотозапчасти,摩托车零件,Motorcycle Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Автоматический лубрикатор промышленный,自动工业润滑器,"


Automatic Industrial Lubricator

",Промышленное оборудование и комплектующие,工业设备和组件,Industrial Equipment and Components,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Устройство пуско-зарядное,启动充电装置,"


Battery Charger

",АКБ и пуско-зарядные устройства,蓄电池与快速充电起动机,Batteries and Start-up Chargers,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Каскетка защитная,防护鸭舌帽,"


Protective Cap

",Средства защиты и пожаротушения,防护和消防设备,Protection and Fire Extinguishing Products,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Электронное судейство,电子评审,"


Electronic Judging

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Клипсатор,扎口机,Clipper,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
"Масленка, сырница",黄油盒、奶酪盒,"Butter Dish, Cheese Box",Хранение продуктов,食物贮藏,Food Storage,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Баян,巴彦 （手风琴）,Bayan (accordion),Клавишные инструменты,键盘乐器,Keyboard Instruments,Аудиотехника и аксессуары к аудио- и видеотехнике,音频和视频设备配件,Audio Equipment & Audio/Video Equipment Accessories,All,12.00%,14.50%,14.50%,11.00%,13.50%,13.50%
Шовная лента для газона,草坪接缝胶带,"


Lawn Seaming Tape

",Садовый декор и теплицы,花园装饰和温室,Garden Decor & Greenhouses,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Банка косметическая,化妆品罐,"


Cosmetic Jar

","Инструменты для макияжа, маникюра, бани и солярия",化妆，美甲，澡堂，美黑的工具,"Make-Up, Manicure, Bath & Indoor Tanning Tools",Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Вентилятор приточный,进风扇,Supply Fan,Вентиляция,通风系统,Ventilation System,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Фильм,电影,"


Film

","Кино, музыка, видеоигры, софт",电影、音乐、视频游戏、软件,"Movies, Music, Video Games, Software",Комплектующие для ПК и ноутбуков,电脑及笔记本配件,PC & Laptop Components,All,12.00%,12.50%,12.50%,11.00%,11.50%,11.50%
Пистолет для фламбирования,火焰消毒枪,"


Cooking Torch

","Горелки, лампы и походные печи",燃烧器、旅行灯和户外野营炉具,"Burners, Lamps and Camping Stoves",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Комплект головной убор + аксессуар,头饰 + 配件套件,"


Headgear + Accessory Set

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Подвесной унитаз,悬浮式马桶,"


Wall-Hung Toilet

",Санфаянс и ванны,洁具和浴缸,Bathroom Ceramics & Bathtubs,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Демпфер мебельный,家具阻尼器,Furniture Damper,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Свеча для торта бенгальская,孟加拉蛋糕蜡烛,"


Cake Sparkler

",Фейерверки и салюты,烟花和焰火,Fireworks,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Парогенератор,蒸汽发生器,Steam Generator,Утюги и отпариватели,熨斗和蒸笼,Irons & Steamers,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Держатель для пульта,遥控器支架,Remote Control Holder,Устройства ручного ввода,手动输入设备,Manual Input Devices,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Доска для серфинга,冲浪板,Surfboard,Водный спорт и отдых на воде,水上运动和娱乐,Water Sports and Recreation,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Босоножки для танцев,舞蹈凉鞋,Dance Sandals,Спортивная и рабочая обувь,运动鞋和工作鞋,Sports and Work Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Вешалка на дверь,门挂架,Door Hanger,Вешалки для одежды,衣架,Clothing Hangers,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Средство для воды в аквариуме,鱼缸水处理用品,"


Aquarium Water Products

",Химия для аквариума,水族养殖化学品,Aquarium Chemicals,Товары для животных,宠物用品,Pet Products,All,12.00%,14.00%,15.00%,11.00%,13.00%,14.00%
"Чехол для гироскутера, моноколеса",陀螺仪，电动独轮车套,"


Monowheel, Hoverboard Cover

",Электротранспорт,电动交通工具,Electric Transport,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Стек БДСМ,性虐鞭,"


BDSM Crop

",БДСМ,性虐,BDSM,Товары для взрослых,成人用品,Adult Products,All,12.00%,14.00%,21.00%,11.00%,13.00%,20.00%
Шланг подкачки колес,车轮充气软管,"


Wheel Inflation Hose

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Масло редукторное,齿轮箱油,"


Gear Oil

",Автомобильные масла,汽车机油,Car Oils,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Чехол для рюкзака,背包套,"


Backpack Cover

",Спортивные чехлы и сумки,运动套和包,Sport Cases & Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Чехол для фонаря,手电筒盒,"


Flashlight Case

",Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Крыша для мототехники,摩托车车顶,"


Roof for Motorcycles

",Мотозапчасти,摩托车零件,Motorcycle Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Защита ЖК-экрана камеры,相机液晶屏保护罩,Camera LCD Screen Protection,Аксессуары для фото и видеотехники,摄影/视频设备配件,Photo & Video Equipment Accessories,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Аксессуар для автомагнитолы,车载收音机配件,"


Car Stereo Accessory

",Автомагнитолы,汽车收音机,Car Stereos,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Вышивальная машина,绣花机,Embroidery Machine,Швейные машины,缝纫机,Sewing Machines,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Ароматизатор для рыбалки,钓鱼饵调味料,Fishing Flavoring,"Прикормки, ароматизаторы, насадки",饵料、香料、鱼饵,"Baits, Bait Flavorings, Lures",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Грузовой пояс для дайвинга,潜水配重带,"


Diving Cargo Belt

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ресницы для наращивания,睫毛嫁接,"


Eyelash Extensions

",Ресницы накладные и для наращивания,假睫毛和嫁接睫毛,False Eyelash & Eyelash Extensions,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Набор для выпечки,烘焙套件,Baking Kit,Аксессуары для приготовления пищи,烹饪配件,Cooking Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Соль для ванны,浴盐,"


Bath Salt

",Средства для принятия ванны,沐浴产品,Bath Products,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Гипс медицинский,医用石膏,"


Medical Plaster

",Медицинские расходные материалы,医用耗材,Medical Consumables,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Плитка кварц-виниловая,石英乙烯基瓷砖,"


Quartz Vinyl Tiles

",Плитка и керамогранит,瓷砖和瓷片,Tile and Porcelain Stoneware,Отделочные материалы,装饰材料,Finishing Materials,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Система приточной вентиляции,送风系统,"


Supply Ventilation System

",Климатическая техника,空调设备,Climatic Equipment,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Запчасть для полиграфического аппарата,印刷机零件,Printing Machine Replacement Part,Полиграфическое оборудование,印刷设备,Printing Equipment,"Компьютерная офисная техника, кассовое и складское оборудование",办公电脑设备、收银及仓储设备,"Office Computer Equipment, Cash Register & Warehouse Equipment",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Маска для ксеноновых линз,氙气投影仪镜头掩模,Xenon Projector Lens Mask,Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Якорная веревка,锚绳,"


Anchor Rope

",Лодки и лодочные моторы,船只和舷外发动机,Boats and Boat Motors,"Лодки, моторы и эхолоты",船只、马达和充气艇,"Boats, Motors & Echo Sounders",All,12.00%,15.00%,15.00%,11.00%,14.00%,14.00%
Аппарат зуботехнический,牙科器械,"


Dental Machine

","Комплектующее для медицинского оборудования, техники, приборов",医疗器械,Medical Devices,Аптека,专业口腔护理,Professional Oral Care,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Комплект ремней,皮带套装,"


Belt Set

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Втирка для ногтей,美甲魔镜粉,Nail Rubbing ,Декоративная косметика,彩妆化妆品,Decorative Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Бутоньерка,胸花,Boutonniere,Сувениры и подарки,纪念品和礼品,Souvenirs and Gifts,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Станок для архивного переплета,档案装订机,"


Archival Binding Machine

",Папки и файлы,文件夹和文件袋,Folders and Files,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Чехол для горных лыж,滑雪板套,"


Ski Case

",Аксессуары для лыж и сноубордов,滑雪和滑雪板配件,Ski & Snowboard Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Рафия,酒椰纤维,"


Raffia

",Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Выкройка,缝纫裁剪图,Sewing Pattern,Инструмент для рукоделия,针线活工具,Craft Tools,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Книжка-игрушка,玩具书,Toy Book,Игрушки,玩具,Toys,Игрушки,玩具,Toys,All,12.00%,14.00%,17.50%,11.00%,13.00%,16.50%
Фонарь аварийный,应急手电,"


Emergency Lantern

",Электроника для автомобиля,汽车电子产品,Car Electronics,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Адаптер для установки бинокля,用于安装双筒望远镜的适配器,Binocular Tripod Adapter,Бинокли и подзорные трубы,双筒望远镜和望远镜,Binoculars & Spotting Scopes,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Защита шарнира для виндсерфинга,风帆冲浪铰链护罩,Windsurf Hinge Guard,Водный спорт и отдых на воде,水上运动和娱乐,Water Sports and Recreation,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Фиксирующие вкладыши для зубных протезов,假牙固定嵌件,"


Denture Adhesive Cushions

",Личная гигиена,个人卫生,Personal Hygiene,Профессиональный уход за полостью рта,专业口腔护理,Professional Oral Care,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Паста полировальная,抛光膏,"


Polishing Paste

",Расходники для инструмента,工具耗材,Tool Consumables,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Оборудование для OCR,OCR设备,OCR Equipment,Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Листовой полипропилен,聚丙烯片材,Polypropylene Sheet,Поликарбонат и оргстекло,聚碳酸酯和有机玻璃,Polycarbonate & Plexiglass,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Шторы для автомойки,洗车窗帘,"


Car Wash Curtains

",Товары для гаражей и автосервисов,车库和汽车服务用品,Garage and Car Services Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Носки для мотокросса,越野摩托车袜,"


Motocross Socks 

",Спортивная одежда,运动服,Sports Clothing,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Вулканизатор,硫化机,Vulcanizer,Товары для гаражей и автосервисов,车库和汽车服务用品,Garage and Car Services Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Сэмплер,取样器,"


Sampler

",Электронные музыкальные инструменты,电子乐器,Electronic Musical Instruments,Аудиотехника и аксессуары к аудио- и видеотехнике,音频和视频设备配件,Audio Equipment & Audio/Video Equipment Accessories,All,12.00%,14.50%,14.50%,11.00%,13.50%,13.50%
Гравитационные ботинки,重力靴,Gravity Boots,Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Очки для плавания,游泳护目镜,Swimming Goggles,Маски и очки,口罩和眼镜,Masks & Goggles,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Лестница телескопическая,伸缩梯,Telescopic Ladder,Лестницы и стремянки,梯子和折梯,Ladders & Stepladders,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Параподиум,康复训练器,Parapodium,Товары для реабилитации,康复用品,Rehabilitation Products,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Пробковое покрытие для стен,墙面软木涂料,"


Cork Wall Covering

",Стеновые панели,墙板,Wall Panels,Отделочные материалы,装饰材料,Finishing Materials,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Карта оплаты для магазина приложений,应用商店支付卡,"


App Store Payment Card

",Игровые приставки,游戏机,Video Game Consoles,Аудиотехника и аксессуары к аудио- и видеотехнике,音频和视频设备配件,Audio Equipment & Audio/Video Equipment Accessories,All,12.00%,14.50%,14.50%,11.00%,13.50%,13.50%
Пьедестал для награждения,奖项领奖台,"


Awards Podium

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Шкаф-кровать,衣柜床,"


Bed Wardrobe

",Кровати,家具_床,Furniture_Beds,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Маслопресс бытовой,家用榨油机,"


Household Oil Press

",Соковыжималки,榨汁机,Juicer,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Набор для подвижных игр,户外游戏套装 ,Outdoor Game Set ,Подвижные игры,户外游戏,Outdoor Games,Спорт детский,儿童运动用品,Kids Sports,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Ботинки для охоты,狩猎皮鞋,Hunting Boots,Спортивная и рабочая обувь,运动鞋和工作鞋,Sports and Work Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Костюм антиклещевой,防壁虱服装,"


Tick Repellent Suit

",Спецодежда,工作服,Work Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Стразы для лица и тела,面部和身体的水钻,"


Face & Body Rhinestones

",Декоративная косметика,彩妆化妆品,Decorative Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Магнит мебельный,家具磁铁,Furniture Magnet,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Блок управления вентилятором,风扇控制单元,"


Fan Control Unit

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Устройство замковое,锁定装置,"


Locking Device

",Перевоз багажа,行李运输,Luggage Transportation,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Добавка для затирки,灌浆添加剂,Grout Additive,Строительные смеси,建筑混合料,Construction Mixes,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
